graph_seed,regime,k,rep_a,rep_b,jaccard_distance,fresh_score_gap,score_a,score_b,evaluation_set
42001,transition_dense,32,new_rep1,new_rep3,0.5116279069767442,0.0014012629787127,0.4461758658289909,0.4475771288077037,stage4f_fresh_6501_6524
42001,transition_dense,32,new_rep1,previous_rep0,0.4761904761904761,0.0259151669840018,0.4461758658289909,0.4720910328129927,stage4f_fresh_6501_6524
42001,transition_dense,32,new_rep2,new_rep3,0.4761904761904761,0.0067076322933039,0.4408694965143998,0.4475771288077037,stage4f_fresh_6501_6524
42001,transition_dense,32,new_rep2,previous_rep0,0.5116279069767442,0.0312215362985929,0.4408694965143998,0.4720910328129927,stage4f_fresh_6501_6524
42001,transition_dense,32,new_rep3,previous_rep0,0.4761904761904761,0.024513904005289,0.4475771288077037,0.4720910328129927,stage4f_fresh_6501_6524
42001,transition_dense,64,new_rep1,new_rep2,0.780952380952381,0.1612989374746879,0.7321372491617998,0.5708383116871119,stage4f_fresh_6501_6524
42001,transition_dense,64,new_rep1,new_rep3,0.8256880733944953,0.1577344940354427,0.7321372491617998,0.5744027551263571,stage4f_fresh_6501_6524
42001,transition_dense,64,new_rep1,previous_rep0,0.3589743589743589,0.0186502151191234,0.7321372491617998,0.7134870340426763,stage4f_fresh_6501_6524
42001,transition_dense,64,new_rep2,new_rep3,0.8363636363636364,0.0035644434392452,0.5708383116871119,0.5744027551263571,stage4f_fresh_6501_6524
42001,transition_dense,64,new_rep2,previous_rep0,0.8037383177570093,0.1426487223555644,0.5708383116871119,0.7134870340426763,stage4f_fresh_6501_6524
42001,transition_dense,64,new_rep3,previous_rep0,0.8148148148148149,0.1390842789163192,0.5744027551263571,0.7134870340426763,stage4f_fresh_6501_6524
42001,transition_mid,8,new_rep1,new_rep2,0.9333333333333332,0.0594322461013991,0.2166696746523181,0.1572374285509189,stage4f_fresh_6501_6524
42001,transition_mid,8,new_rep1,new_rep3,1.0,0.0403762033674865,0.2166696746523181,0.1762934712848315,stage4f_fresh_6501_6524
42001,transition_mid,8,new_rep1,previous_rep0,1.0,0.0902468560573954,0.2166696746523181,0.1264228185949226,stage4f_fresh_6501_6524
42001,transition_mid,8,new_rep2,new_rep3,1.0,0.0190560427339125,0.1572374285509189,0.1762934712848315,stage4f_fresh_6501_6524
42001,transition_mid,8,new_rep2,previous_rep0,0.9333333333333332,0.0308146099559963,0.1572374285509189,0.1264228185949226,stage4f_fresh_6501_6524
42001,transition_mid,8,new_rep3,previous_rep0,1.0,0.0498706526899088,0.1762934712848315,0.1264228185949226,stage4f_fresh_6501_6524
42001,transition_mid,32,new_rep1,new_rep2,0.5454545454545454,0.0350016417602698,0.4298444564143817,0.3948428146541118,stage4f_fresh_6501_6524
42001,transition_mid,32,new_rep1,new_rep3,0.4761904761904761,0.0041031601528326,0.4298444564143817,0.425741296261549,stage4f_fresh_6501_6524
42001,transition_mid,32,new_rep1,previous_rep0,0.5116279069767442,0.0281002086897692,0.4298444564143817,0.4017442477246125,stage4f_fresh_6501_6524
42001,transition_mid,32,new_rep2,new_rep3,0.5777777777777777,0.0308984816074371,0.3948428146541118,0.425741296261549,stage4f_fresh_6501_6524
42001,transition_mid,32,new_rep2,previous_rep0,0.6382978723404256,0.0069014330705006,0.3948428146541118,0.4017442477246125,stage4f_fresh_6501_6524
42001,transition_mid,32,new_rep3,previous_rep0,0.5116279069767442,0.0239970485369365,0.425741296261549,0.4017442477246125,stage4f_fresh_6501_6524
42001,transition_mid,64,new_rep1,new_rep2,0.4578313253012048,0.0536250012616316,0.6544698240856329,0.6008448228240013,stage4f_fresh_6501_6524
42001,transition_mid,64,new_rep1,new_rep3,0.8571428571428572,0.1897769756615161,0.6544698240856329,0.4646928484241168,stage4f_fresh_6501_6524
42001,transition_mid,64,new_rep1,previous_rep0,0.4578313253012048,0.1428190947820742,0.6544698240856329,0.5116507293035587,stage4f_fresh_6501_6524
42001,transition_mid,64,new_rep2,new_rep3,0.8571428571428572,0.1361519743998845,0.6008448228240013,0.4646928484241168,stage4f_fresh_6501_6524
42001,transition_mid,64,new_rep2,previous_rep0,0.379746835443038,0.0891940935204426,0.6008448228240013,0.5116507293035587,stage4f_fresh_6501_6524
42001,transition_mid,64,new_rep3,previous_rep0,0.8363636363636364,0.0469578808794419,0.4646928484241168,0.5116507293035587,stage4f_fresh_6501_6524
